EJIDO;NOMBRE;FAJA;RESPONSABLE;EPSG;UBICACION;NOMBREIDE;ESCPUEBLO;ESCMINI;OBSERVACIONES
82;Parera;3;Jonatan;5345;7-B-6;Parera;12500;70000;
83;Caleufu;3;Jonatan;5345;7-C-6;Caleufu;5000;30000;
84;La Maruja;3;Jonatan;5345;7-C-11;LaMaruja;4000;25000;
85;Pichi Huinca;3;Jonatan;5345;7-C-13;PichiHuinca;3500;25000;
86;Ingeniero Foster;3;Jonatan;5345;7-D-15;IngenieroFoster;2500;15000;
87;Luan Toro;3;Sofia;5345;8-A-16;LuanToro;6000;55000;
88;Telen;3;Emanuel;5345;8-A-21;Telen;4000;50000;
89;Victorica;3;Jonatan;5345;8-A-19;Victorica;20000;130000;
90;Loventue;3;Jonatan;5345;8-A-18;Loventue;20000;100000;
91;Conhello;3;Sofia;5345;8-B-6;Conhello;5000;35000;
92;Teniente General Emilio Mitre;3;;5345;8-B-11;;1;1;
93;Ceriola;3;Jonatan;5345;8-B-7;Ceriola;3500;35000;
94;Rucanelo;3;Jonatan;5345;8-D-9;Rucanelo;2500;15000;
95;Carro Quemado;3;Jonatan;5345;8-D-8;CarroQuemado;50000;250000;
96;Utracan;3;;5345;9-C-5;;1;1;
97;General Acha;3;Emanuel;5345;9-C-6;GeneralAcha;20000;110000;Ya exorcise la capa de propietarios, falta la de poseedores
98;Chacharramendi;3;Jonatan;5345;14-D-8;Chacharramendi;1250;12500;
99;Cuchillo Co;3;Emanuel;5345;10-C-6 10-C-15;CuchilloCo;2000;15000;
100;Pichi Mahuida;3;;5345;10-F-12;;1;1;
101;Graneros;3;;5345;15-A-8;;1;1;
102;Puelches;3;Jonatan;5345;15-D-1;Puelches;2500;20000;
103;Santa Isabel;3;Jonatan;5345;18-A-19;SantaIsabel;7500;40000;
104;La Pastoril;3;Jonatan;5345;18-C-4;;1;1;
105;Colonia Emilio Mitre;3;;5345;18-C-10;;1;1;
106;Paso de los Algarrobos;3;;5345;18-D-19;;1;1;
107;Limay Mahuida;3;Jonatan;5345;19-A-24;LimayMahuida;1250;12500;
108;La Reforma;3;Sofia;5345;19-C-18;LaReforma;1000;10000;
109;Algarrobo Del Aguila;3;Emanuel;5345;23-C-5;AlgarroboDelAguila;2500;15000;
110;Puelen;2;Emanuel;5344;24-C-1 24-C-10;Puelen;2500;40000;
111;Gobernador Ayala;2;;5344;24-D-19;;1;1;
112;Colonia 25 De Mayo;2;Emanuel;5344;25-A-5;;65000;340000;La miniatura queda horrible en el plano de pueblo
113;Arbol Solo;2;;5344;18-C-20;;1;1;
114;Gobernador Dubal;2;Jonatan;5344;21-B-10;GobernadorDubal;3000;20000;
115;LaHumada;2;Jonatan;5344;23-A-23;LaHumada;2250;15000;
116;Colonia Chica;2;Emanuel;5344;25-A-14;ColoniaChica;25000;250000;
117;Casa De Piedra;3;Jonatan;5344;25-B-25 25-C-5;CasaDePiedra;15000;80000;
